date,rank,rolling_mean_return
2018-09-30,11.0,0.01359940344132257
2018-10-31,11.0,0.012552028756734352
2018-11-30,11.0,0.011423292679179005
2018-12-31,11.0,0.012881585535634156
2019-01-31,11.0,0.012493744834526982
2019-02-28,11.0,0.011665281326321717
2019-03-31,11.0,0.011456705119614347
2019-04-30,11.0,0.007727451982139451
2019-05-31,11.0,0.008693025593087222
2019-06-30,11.0,0.008981615731045512
2019-07-31,11.0,0.009825047934502226
2019-08-31,11.0,0.009462379456426296
2019-09-30,11.0,0.010399590350501815
2019-10-31,11.0,0.010947060141304853
2019-11-30,11.0,0.012141263497049004
2019-12-31,11.0,0.012107719637835466
2020-01-31,11.0,0.008253714166075404
2020-02-29,11.0,0.004742145207425328
2020-03-31,11.0,0.005742309969355877
2020-04-30,11.0,0.006096787263748373
2020-05-31,11.0,0.010210188692438756
2020-06-30,11.0,0.008474248660523065
2020-07-31,11.0,0.010469098083923952
2020-08-31,11.0,0.008663274539097706
2020-09-30,11.0,0.006765645323093022
2020-10-31,11.0,0.008244801081872028
2020-11-30,11.0,0.00854838446688595
2020-12-31,11.0,0.009184634341744111
2021-01-31,11.0,0.009039890934398477
2021-02-28,11.0,0.009061652886268602
2021-03-31,11.0,0.009972496411381643
2021-04-30,11.0,0.011774673315442852
2021-05-31,11.0,0.010909819750843153
2021-06-30,11.0,0.00837808980625464
2021-07-31,11.0,0.007681192382309729
2021-08-31,11.0,0.00828205291984461
2021-09-30,11.0,0.01169584479202157
2021-10-31,11.0,0.01146666920396369
2021-11-30,11.0,0.012330096919063279
2021-12-31,11.0,0.012540973387372638
2022-01-31,11.0,0.012248111765806504
2022-02-28,11.0,0.01554886856023732
2022-03-31,11.0,0.013743604711719204
2022-04-30,11.0,0.01300888838747739
2022-05-31,11.0,0.012532947527859169
2022-06-30,11.0,0.014627721950793971
2022-07-31,11.0,0.013474178858393382
2022-08-31,11.0,0.011774990115472972
2022-09-30,11.0,0.010996886761812872
2022-10-31,11.0,0.012381112454010305
2022-11-30,11.0,0.010386724419739932
2022-12-31,11.0,0.010654116580676233
2023-01-31,11.0,0.009797828110132337
2023-02-28,11.0,0.013889213253204432
2023-03-31,11.0,0.014234201558087205
2023-04-30,11.0,0.01287558742714691
2023-05-31,11.0,0.014533388338951032
2023-06-30,11.0,0.015626034473831908
2023-07-31,11.0,0.008700323559303303
2023-08-31,11.0,0.00818412125773014
2023-09-30,11.0,0.009037314481724682
2023-10-31,11.0,0.011623676673496465
2023-11-30,11.0,0.013998291165582988
2023-12-31,11.0,0.013131547523792258
2024-01-31,11.0,0.014305548920482613
2024-02-29,11.0,0.01909080820089113
2024-03-31,11.0,0.01753475525863794
2024-04-30,11.0,0.02404111100778004
2024-05-31,11.0,0.024139286154032137
2024-06-30,11.0,0.02618613606690714
2024-07-31,11.0,0.025284468885234015
2024-08-31,11.0,0.026233629395259042
2024-09-30,11.0,0.02442961056548929
2024-10-31,11.0,0.025706455786467405
2024-11-30,11.0,0.02506298749951152
2024-12-31,11.0,0.026960142671996878
2025-01-31,11.0,0.025501510319540954
2025-02-28,11.0,0.026553098774438014
2025-03-31,11.0,0.025153984395455648
2025-04-30,11.0,0.02784308893797375
2025-05-31,11.0,0.0248786546721858
2025-06-30,11.0,0.02744814143160684
2025-07-31,11.0,0.02686496185714305
2025-08-31,11.0,0.028097919228326454
2025-09-30,11.0,0.029198519104095367
2025-10-31,11.0,0.026686126744531604
2025-11-30,11.0,0.026809141978179362
2025-12-31,11.0,0.026934500481303875
2010-12-31,12.0,0.017048791070987095
2011-01-31,12.0,0.019950910223419514
2011-02-28,12.0,0.018859960664950954
2011-03-31,12.0,0.01921645222246686
2011-04-30,12.0,0.0190659855132928
2011-05-31,12.0,0.0203781882498546
2011-06-30,12.0,0.018845625786392227
2011-07-31,12.0,0.02091390489858826
2011-08-31,12.0,0.019289074091694402
2011-09-30,12.0,0.021613699394764506
2011-10-31,12.0,0.021145033755184905
2011-11-30,12.0,0.022876521891985132
2011-12-31,12.0,0.0230731606373989
2012-01-31,12.0,0.021384658999602953
2012-02-29,12.0,0.02216453697624147
2012-03-31,12.0,0.021198630859136553
2012-04-30,12.0,0.01899519290259882
