month,return,date,beta_3m,vol_3m,max_dd_3m,beta_6m,vol_6m,max_dd_6m,beta_12m,vol_12m,max_dd_12m,portfolio_tail_max_dd
2020-02-01,-0.0912727359886564,2020-02-01,,,,,,,,,,-0.1217084191553887
2020-03-01,-0.1809944112234134,2020-03-01,,,,,,,,,,-0.1217084191553887
2020-04-01,0.2096251764567169,2020-04-01,,,,,,,,,,-0.1217084191553887
2020-05-01,0.1109609493402179,2020-05-01,,,,,,,,,,-0.1217084191553887
2020-06-01,0.026306949407159,2020-06-01,,,,,,,,,,-0.1217084191553887
2020-07-01,0.0657273581175639,2020-07-01,,,,,,,,,,-0.1217084191553887
2020-08-01,0.0403384076164412,2020-08-01,,,,,,,,,,-0.1217084191553887
2020-09-01,-0.0673338383068951,2020-09-01,,,,,,,,,,-0.1217084191553887
2020-10-01,-0.0343482479628256,2020-10-01,,,,,,,,,,-0.1217084191553887
2020-11-01,0.1785584429897635,2020-11-01,,,,,,,,,,-0.1217084191553887
2020-12-01,0.0594618537819173,2020-12-01,,,,,,,,,,-0.1217084191553887
2021-01-01,0.028780035271956,2021-01-01,,,,,,,,,,-0.1217084191553887
2021-02-01,0.0851748594696191,2021-02-01,,,,,,,,,,-0.1217084191553887
2021-03-01,-0.0191728457997216,2021-03-01,,,,,,,,,,-0.1217084191553887
2021-04-01,-0.0060308953305105,2021-04-01,,,,,,,,,,-0.1217084191553887
2021-05-01,0.0291483471916982,2021-05-01,,,,,,,,,,-0.1217084191553887
2021-06-01,0.0191875956662279,2021-06-01,,,,,,,,,,-0.1217084191553887
2021-07-01,0.0111847117112364,2021-07-01,,,,,,,,,,-0.1217084191553887
2021-08-01,0.0137526514456571,2021-08-01,,,,,,,,,,-0.1217084191553887
2021-09-01,-0.035713936278228,2021-09-01,,,,,,,,,,-0.1217084191553887
2021-10-01,0.0567934178544984,2021-10-01,,,,,,,,,,-0.1217084191553887
2021-11-01,0.0231315997818954,2021-11-01,,,,,,,,,,-0.1217084191553887
2021-12-01,0.0294385323000749,2021-12-01,,,,,,,,,,-0.1217084191553887
2022-01-01,-0.0534553667652507,2022-01-01,,,,,,,,,,-0.1217084191553887
2022-02-01,0.0027680365112521,2022-02-01,,,,,,,,,,-0.1217084191553887
2022-03-01,0.0119994649410044,2022-03-01,,,,,,,,,,-0.1217084191553887
2022-04-01,-0.0932468239181869,2022-04-01,,,,,,,,,,-0.1217084191553887
2022-05-01,0.0511229676016247,2022-05-01,,,,,,,,,,-0.1217084191553887
2022-06-01,-0.151356174127587,2022-06-01,,,,,,,,,,-0.1217084191553887
2022-07-01,0.1393138738368675,2022-07-01,,,,,,,,,,-0.1217084191553887
2022-08-01,-0.0674002259353108,2022-08-01,,,,,,,,,,-0.1217084191553887
2022-09-01,-0.1061125556679395,2022-09-01,,,,,,,,,,-0.1217084191553887
2022-10-01,0.0596054122396516,2022-10-01,,,,,,,,,,-0.1217084191553887
2022-11-01,0.1282546783081635,2022-11-01,,,,,,,,,,-0.1217084191553887
2022-12-01,-0.0739730387112769,2022-12-01,,,,,,,,,,-0.1217084191553887
2023-01-01,0.1088646192946143,2023-01-01,,,,,,,,,,-0.1217084191553887
2023-02-01,-0.0676731536209067,2023-02-01,,,,,,,,,,-0.1217084191553887
2023-03-01,0.0799572212156889,2023-03-01,,,,,,,,,,-0.1217084191553887
2023-04-01,-0.0011925982240341,2023-04-01,,,,,,,,,,-0.1217084191553887
2023-05-01,0.0390878978835307,2023-05-01,,,,,,,,,,-0.1217084191553887
2023-06-01,0.0061015505498025,2023-06-01,,,,,,,,,,-0.1217084191553887
2023-07-01,0.047083419312828,2023-07-01,,,,,,,,,,-0.1217084191553887
2023-08-01,-0.03042228985901,2023-08-01,,,,,,,,,,-0.1217084191553887
2023-09-01,-0.0386195533994659,2023-09-01,,,,,,,,,,-0.1217084191553887
2023-10-01,-0.0336933177156645,2023-10-01,,,,,,,,,,-0.1217084191553887
2023-11-01,0.1003486812592688,2023-11-01,,,,,,,,,,-0.1217084191553887
2023-12-01,0.0868274190739339,2023-12-01,,,,,,,,,,-0.1217084191553887
2024-01-01,0.034964790062913,2024-01-01,,,,,,,,,,-0.1217084191553887
2024-02-01,0.0442488104316649,2024-02-01,,,,,,,,,,-0.1217084191553887
2024-03-01,0.0508595492489991,2024-03-01,,,,,,,,,,-0.1217084191553887
2024-04-01,-0.0634329858429409,2024-04-01,,,,,,,,,,-0.1217084191553887
2024-05-01,0.0933462788584662,2024-05-01,,,,,,,,,,-0.1217084191553887
2024-06-01,0.011430824367967,2024-06-01,,,,,,,,,,-0.1217084191553887
2024-07-01,-0.0209229579262778,2024-07-01,,,,,,,,,,-0.1217084191553887
2024-08-01,-0.0037235957642404,2024-08-01,,,,,,,,,,-0.1217084191553887
2024-09-01,0.0821357678343264,2024-09-01,,,,,,,,,,-0.1217084191553887
2024-10-01,-0.0134384764073971,2024-10-01,,,,,,,,,,-0.1217084191553887
2024-11-01,0.0339258964401429,2024-11-01,,,,,,,,,,-0.1217084191553887
2024-12-01,-0.0837006774497601,2024-12-01,,,,,,,,,,-0.1217084191553887
2025-01-01,0.031932382778441,2025-01-01,,,,,,,,,,-0.1217084191553887
2025-02-01,0.0156095690971713,2025-02-01,,,,,,,,,,-0.1217084191553887
2025-03-01,-0.0019010017491777,2025-03-01,,,,,,,,,,-0.1217084191553887
2025-04-01,-0.0610571743225851,2025-04-01,,,,,,,,,,-0.1217084191553887
2025-05-01,0.0771447965482368,2025-05-01,,,,,,,,,,-0.1217084191553887
2025-06-01,0.1250393927897712,2025-06-01,,,,,,,,,,-0.1217084191553887
2025-07-01,0.011633289538697,2025-07-01,,,,,,,,,,-0.1217084191553887
2025-08-01,0.0781660940770567,2025-08-01,,,,,,,,,,-0.1217084191553887
2025-09-01,0.1508412674751329,2025-09-01,,,,,,,,,,-0.1217084191553887
2025-10-01,0.1172816032881067,2025-10-01,,,,,,,,,,-0.1217084191553887
2025-11-01,0.0106580737570201,2025-11-01,,,,,,,,,,-0.1217084191553887
2025-12-01,0.0491749625394573,2025-12-01,,,,,,,,,,-0.1217084191553887
2026-01-01,0.0,2026-01-01,,,,,,,,,,-0.1217084191553887
